Latitude,Longitude,Depth,Magnitude,No,Cluster
0.689,0.598,0.012,0.253,279,0
0.034,0.531,0.044,0.475,280,1
0.156,0.311,0.012,0.378,281,0
0.155,0.308,0.064,0.333,282,0
0.149,0.308,0.037,0.43,283,1
0.263,0.207,0.012,0.342,284,0
0.073,0.479,0.02,0.482,285,1
0.155,0.31,0.061,0.328,286,0
0.225,0.268,0.012,0.318,287,0
0.351,0.177,0.044,0.383,288,0
0.169,0.311,0.092,0.272,289,0
0.128,0.38,0.056,0.331,290,0
0.163,0.308,0.105,0.596,291,1
0.218,0.751,0.183,0.559,292,3
0.332,0.164,0.025,0.277,293,0
0.112,0.395,0.049,0.301,294,0
0.149,0.308,0.045,0.229,295,0
0.095,0.499,0.029,0.254,296,0
0.335,0.165,0.013,0.25,297,0
0.009,0.407,0.021,0.419,298,1
0.54,0.101,0.012,0.313,299,0
0.156,0.309,0.064,0.389,300,0
0.151,0.308,0.031,0.458,301,1
0.155,0.31,0.012,0.435,302,1
0.15,0.31,0.012,0.321,303,0
0.117,0.337,0.067,0.336,304,0
0.765,0.086,0.155,0.339,305,3
0.661,0.675,0.039,0.432,306,1
0.622,0.615,0.012,0.499,307,1
0.15,0.309,0.013,0.3,308,0
0.154,0.31,0.057,0.264,309,0
0.635,0.641,0.02,0.429,310,1
0.637,0.607,0.079,0.469,311,1
0.558,0.535,0.012,0.274,312,0
0.68,0.554,0.06,0.561,313,1
0.16,0.31,0.06,0.318,314,0
0.51,0.981,0.023,0.391,315,0
0.311,0.182,0.012,0.307,316,0
0.157,0.311,0.012,0.262,317,0
0.862,0.056,0.151,0.302,318,0
0.746,0.705,0.151,0.424,319,3
0.381,0.121,0.064,0.557,320,1
0.488,0.541,0.012,0.319,321,0
0.229,0.677,0.617,0.514,322,2
0.257,0.246,0.178,0.434,323,3
0.72,0.693,0.059,0.563,324,1
0.173,0.47,0.012,0.305,325,0
0.151,0.31,0.08,0.356,326,0
0.17,0.269,0.012,0.414,327,1
1.0,0.015,0.295,0.433,328,3
0.673,0.662,0.027,0.477,329,1
0.669,0.662,0.012,0.465,330,1
0.151,0.308,0.035,0.357,331,0
0.137,0.307,0.028,0.364,332,0
0.492,0.943,0.048,0.473,333,1
0.738,0.682,0.012,0.461,334,1
0.663,0.582,0.239,0.452,335,3
0.639,0.612,0.207,0.48,336,3
0.739,0.68,0.012,0.486,337,1
0.244,0.234,0.103,0.392,338,0
0.735,0.681,0.029,0.557,339,1
0.804,0.674,0.016,0.439,340,1
0.63,0.609,0.012,0.284,341,0
0.435,0.107,0.037,0.469,342,1
0.431,0.105,0.056,0.393,343,0
0.511,0.971,0.043,0.473,344,1
0.15,0.307,0.097,0.419,345,1
0.331,0.18,0.055,0.293,346,0
0.573,0.548,0.012,0.293,347,0
0.476,0.193,0.466,0.48,348,2
0.582,0.549,0.028,0.329,349,0
0.887,0.694,0.027,0.515,350,1
0.571,0.68,0.04,0.603,351,1
0.567,0.679,0.021,0.476,352,1
0.08,0.536,0.012,0.411,353,1
0.156,0.31,0.012,0.522,354,1
0.17,0.309,0.043,0.286,355,0
0.732,0.087,0.126,0.258,356,0
0.152,0.309,0.012,0.295,357,0
0.713,0.693,0.048,0.348,358,0
0.604,0.583,0.012,0.426,359,1
0.888,0.73,0.039,0.534,360,1
0.375,0.146,0.015,0.409,361,1
0.607,0.619,0.012,0.415,362,1
0.213,0.298,0.012,0.372,363,0
0.295,0.593,0.012,0.448,364,1
0.478,0.755,0.012,0.362,365,0
0.149,0.308,0.039,0.436,366,1
0.148,0.31,0.047,0.378,367,0
0.216,0.692,0.363,0.481,368,3
0.223,0.289,0.012,0.324,369,0
0.749,0.681,0.024,0.392,370,0
0.23,0.723,0.043,0.602,371,1
0.23,0.723,0.052,0.659,372,1
0.223,0.725,0.047,0.544,373,1
0.228,0.723,0.053,0.594,374,1
0.228,0.723,0.056,0.586,375,1
0.224,0.726,0.012,0.573,376,1
0.121,0.358,0.02,0.414,377,1
0.229,0.725,0.063,0.587,378,1
0.231,0.726,0.056,0.577,379,1
0.811,0.721,0.168,0.51,380,3
0.285,0.769,0.194,0.477,381,3
0.198,0.312,0.012,0.283,382,0
0.228,0.723,0.012,0.529,383,1
0.475,0.976,0.088,0.542,384,1
0.469,0.927,0.084,0.572,385,1
0.583,0.693,0.012,0.431,386,1
0.119,0.352,0.027,0.399,387,0
0.381,0.153,0.033,0.355,388,0
0.696,0.687,0.012,0.359,389,0
0.818,0.72,0.028,0.535,390,1
0.082,0.411,0.012,0.328,391,0
0.154,0.309,0.04,0.36,392,0
0.156,0.308,0.021,0.302,393,0
0.498,0.53,0.012,0.254,394,0
0.29,0.748,0.383,0.462,395,3
0.183,0.281,0.057,0.252,396,0
0.742,0.689,0.051,0.428,397,1
0.856,0.64,0.387,0.518,398,3
0.153,0.308,0.032,0.326,399,0
0.15,0.309,0.056,0.294,400,0
0.66,0.593,0.187,0.312,401,3
0.097,0.363,0.031,0.327,402,0
0.751,0.633,0.386,0.374,403,3
0.164,0.434,0.032,0.223,404,0
0.273,0.222,0.012,0.429,405,1
0.636,0.806,0.017,0.429,406,1
0.686,0.616,0.195,0.397,407,3
0.638,0.618,0.144,0.541,408,1
0.777,0.024,0.029,0.279,409,0
0.651,0.665,0.012,0.384,410,0
0.644,0.616,0.172,0.376,411,3
0.664,0.589,0.228,0.234,412,3
0.832,0.673,0.012,0.533,413,1
